,dir,local_ip,lp,mod,nm,prod,productId,protocol,remote_ip,rp,sigid,sigwid,timestamp,ua,url,company_name,cust_id,last_vdb_timestamp,machine_type,os_arch,os_id,os_name,pkhash,product_name,product_version,sp_major_version,sp_minor_version,trial_copy,vdb_timestamp,vertical_id,city_name,country_name,real_region_name,Cluster_5
638,in,59.9.177.201,445,blk,SMB/CVE-2017-0147-EC.WIN!KP.1912,WIN,qhpdt9,SMB,56.9.177.921.,52543,1912.0,qhcltr0,2019-03-04T06:27:38.000Z,,,qhpname7,18ea35d3b106424bf618f86136477567,"02 March, 2019 (08:03:25)",DESKTOP,32Bit,50032.0,Windows 7,2dd395fd04c371ce92ec6fcc5167c621,qhpname7,qhpver0,1.0,0.0,0.0,"03 March, 2019 (08:09:50)",fmcg,city144,country4,region26,0
639,in,44.10.177.201,445,blk,SMB/CVE-2017-0147-EC.WIN!KP.1912,WIN,qhpdt10,SMB,154.13.191.11,64297,1912.0,qhcltr0,2019-03-04T06:27:38.000Z,,,qhpname7,83cfdb5288be62494ab0dc67f19333b6,"28 February, 2019 (10:44:45)",LAPTOP,64Bit,50039.0,Windows 8.1 64 bit,b60b792bf29efd7827089b898297dc0f,qhpname7,qhpver1,0.0,0.0,0.0,"02 March, 2019 (08:03:25)",fmcg,city86,country4,region15,0
640,in,11.10.177.201,445,blk,SMB/CVE-2017-0147-EC.WIN!KP.1912,WIN,qhpdt9,SMB,229.187.148.226,50730,1912.0,qhcltr0,2019-03-04T06:27:38.000Z,,,qhpname7,f2db36e69139d8423b8a5f1f7f398989,"02 March, 2019 (08:03:05)",DESKTOP,32Bit,50032.0,Windows 7,418a86306b87dd1fbc900d88c13abde9,qhpname7,qhpver0,0.0,0.0,0.0,"03 March, 2019 (08:09:34)",healthcare,city115,country4,region15,0
641,in,175.122.208.126,445,blk,SMB/Autoblue.UN!SP.30735,UN,qhpdt9,SMB,27.48.226.221,60270,30735.0,qhcltr4,2019-03-04T06:27:38.000Z,,,qhpname7,19c9ef1a71d4d93a93c5825c1918223c,"02 March, 2019 (08:03:25)",DESKTOP,32Bit,50032.0,Windows 7,d3e8ac12015952b5ee7798994f9c46bc,qhpname7,qhpver0,1.0,0.0,0.0,"03 March, 2019 (08:09:50)",bollywood,city107,country4,region32,1
642,in,242.9.177.201,445,blk,SMB/Autoblue.UN!SP.30735,UN,qhpdt9,SMB,199.41.125.54,53065,30735.0,qhcltr4,2019-03-04T06:27:38.000Z,,,qhpname7,78f33acb5cd185cf163725e9e023fc48,"02 March, 2019 (08:03:25)",DESKTOP,64Bit,50033.0,Windows 7 64 bit,de69ab1424c362af64edc004f46fb102,qhpname7,qhpver0,1.0,0.0,0.0,"03 March, 2019 (08:09:50)",government,city-1,country4,region1,1
643,in,36.46.33.19,445,blk,SMB/EternalBlue.UN!SP.31780,UN,qhpdt5,SMB,40.46.33.19,51532,31780.0,qhcltr4,2019-03-04T06:27:38.000Z,,,qhpname1,e5b92fee2126bb3296cd982e3c521f6d,"28 February, 2019 (10:52:05)",DESKTOP,32Bit,50032.0,Windows 7,a8bfa7fe59b97f73fcfaecbfab602039,qhpname1,qhpver0,1.0,0.0,0.0,"03 March, 2019 (08:09:34)",healthcare,city155,country4,region28,1
644,in,44.59.14.19,445,blk,SMB/EternalBlue.UN!SP.31780,UN,qhpdt2,SMB,48.59.14.19,53744,31780.0,qhcltr4,2019-03-04T06:27:38.000Z,,,qhpname4,3a9f80c6d13088d7f991470b94eba33a,"02 March, 2019 (08:03:05)",DESKTOP,64Bit,50033.0,Windows 7 64 bit,fbe81bec41b0741840fe67b7511c347a,qhpname4,qhpver0,0.0,0.0,0.0,"03 March, 2019 (08:09:34)",manufacturing,city-1,country4,region1,1
645,in,28.9.177.201,445,blk,SMB/EternalBlue.UN!SP.31780,UN,qhpdt8,SMB,29.9.177.921.,1928,31780.0,qhcltr4,2019-03-04T06:27:38.000Z,,,qhpname5,90db3af21d0938a4bf1d741132a011f6,"02 March, 2019 (18:33:05)",DESKTOP,32Bit,50016.0,Windows XP Professional,b176a799f935055041067578ca62281a,qhpname5,qhpver0,2.0,0.0,0.0,"03 March, 2019 (18:39:34)",it,city126,country4,region22,1
646,in,38.19.177.201,445,blk,SMB/EternalBlue.UN!SP.31780,UN,qhpdt10,SMB,69.19.177.921.,49725,31780.0,qhcltr4,2019-03-04T06:27:38.000Z,,,qhpname7,f50a089d49c22c9475035e575ec95b5d,"02 March, 2019 (08:03:25)",DESKTOP,64Bit,50033.0,Windows 7 64 bit,0f452f252915d1fa2bb5d04869aafa58,qhpname7,qhpver1,0.0,0.0,0.0,"03 March, 2019 (08:09:50)",manufacturing,city36,country4,region20,1
647,in,87.122.177.201,445,blk,SMB/EternalBlue.UN!SP.31780,UN,qhpdt9,SMB,36.114.177.921.,50799,31780.0,qhcltr4,2019-03-04T06:27:38.000Z,,,qhpname7,6977e50e5f4c563896b3bcc1c0a691e3,"01 January, 1970 (00:00:00)",DESKTOP,32Bit,50032.0,Windows 7,c1de6fc5a8c78ec2933e5f7da9f3f6bb,qhpname7,qhpver0,0.0,0.0,1.0,"11 October, 2018 (06:40:00)",it,city-1,country4,region1,1
648,in,79.118.203.126,445,blk,SMB/CVE-2017-0147-EC.WIN!KP.1912,WIN,qhpdt10,SMB,245.118.243.134,64223,1912.0,qhcltr0,2019-03-04T06:27:39.000Z,,,qhpname7,ec008826e57c57c3caedcc364f7175ab,"02 March, 2019 (08:03:25)",DESKTOP,32Bit,50032.0,Windows 7,dedc3f1bf56618764e9f8027de9c4906,qhpname7,qhpver1,0.0,0.0,1.0,"03 March, 2019 (08:09:50)",government,city124,country4,region42,0
649,in,54.9.177.201,445,blk,SMB/CVE-2017-0147-EC.WIN!KP.1912,WIN,qhpdt9,SMB,56.9.177.921.,52552,1912.0,qhcltr0,2019-03-04T06:27:39.000Z,,,qhpname7,8d06cf5579f9c6ba812fffef45932834,"02 March, 2019 (08:03:25)",DESKTOP,64Bit,50033.0,Windows 7 64 bit,8aa4f6aa284546fc9afd31bd9ee0ff90,qhpname7,qhpver0,1.0,0.0,0.0,"03 March, 2019 (08:09:50)",it,city144,country4,region26,0
